2025년 7월,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
품   목,항   목,규  격,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,평균,최대값,최소값,표준편차,Cp
,,,화,수,목,금,토,일,월,화,수,목,금,토,일,월,화,수,목,금,토,일,월,화,수,목,금,토,일,월,화,수,목,,,,,
옥수수,산   지,,,미산,,미산,,,미산,,미산,,,,,미산,,미산,,미산,,,미산,,,,,,,미산,,미산,,,,,,
,모선명,,,PAN,,PAN,,,PAN,,ACRA,,,,,ACRA,,ACRA,,PAN,,,PAN,,,,,,,PAN,,PAN,,,,,,
,,,,BICORN,,BICORN,,,BICORN,,,,,,,,,,,BICORN,,,BICORN,,,,,,,BICORN,,BICORN,,,,,,
,,,3.87 ,4.43 ,,,4.22 ,4.24 ,4.10 ,4.24 ,4.35 ,4.18 ,,5.15 ,4.55 ,5.36 ,5.87 ,4.15 ,5.01 ,4.21 ,4.74 ,4.87 ,5.01 ,4.69 ,5.10 ,,,4.71 ,4.40 ,4.66 ,4.55 ,4.74 ,4.05 ,4.59 ,5.87 ,3.87 ,,
,조단백,18% ↑,20.41 ,20.74 ,,,18.19 ,19.01 ,20.64 ,20.79 ,20.18 ,20.15 ,,,20.85 ,19.94 ,20.77 ,21.16 ,22.41 ,21.84 ,21.01 ,20.91 ,20.93 ,21.17 ,21.91 ,,,20.61 ,19.11 ,19.72 ,20.41 ,22.44 ,20.74 ,20.64 ,22.44 ,18.19 ,0.90 ,1.65 
,,,20.87 ,21.06 ,,,18.33 ,19.26 ,20.89 ,20.38 ,20.72 ,20.42 ,,20.17 ,20.41 ,20.71 ,20.34 ,20.54 ,21.82 ,21.52 ,20.86 ,20.78 ,20.62 ,21.30 ,21.45 ,,,19.82 ,19.92 ,19.33 ,19.73 ,21.87 ,21.26 ,20.55 ,21.87 ,18.33 ,,
,전분가(화),▽,17.5 ,,,,,,,,,,,,,21.12 ,,,,,,,,,,,,,,,19.02 ,,,19.21 ,21.12 ,17.50 ,,
글루텐,수  분,13% ↓,5.29 ,5.19 ,,,5.88 ,5.68 ,4.26 ,5.80 ,6.34 ,6.09 ,,,5.80 ,5.98 ,5.99 ,7.57 ,6.63 ,6.54 ,6.02 ,6.69 ,6.75 ,6.08 ,7.00 ,,,6.85 ,6.62 ,6.48 ,5.82 ,6.47 ,6.37 ,6.17 ,7.57 ,4.26 ,0.61 ,4.77 
,,,5.50 ,4.96 ,,,6.81 ,7.03 ,4.48 ,6.79 ,6.77 ,6.23 ,,5.80 ,5.76 ,6.01 ,6.20 ,6.29 ,6.44 ,6.37 ,6.57 ,6.25 ,6.32 ,6.31 ,6.44 ,,,6.40 ,6.31 ,6.67 ,6.36 ,5.98 ,6.50 ,6.21 ,7.03 ,4.48 ,,
,조단백,60% ↑,63.98 ,65.17 ,,,65.06 ,63.77 ,67.78 ,65.11 ,64.19 ,65.98 ,,,64.07 ,64.84 ,63.17 ,64.72 ,6.14 ,66.47 ,65.77 ,65.19 ,64.16 ,65.79 ,66.11 ,,,64.25 ,63.61 ,65.31 ,66.41 ,66.62 ,65.31 ,62.76 ,67.78 ,6.14 ,8.30 ,0.31 
,,,64.61 ,64.63 ,,,65.37 ,63.48 ,67.22 ,65.32 ,64.58 ,65.14 ,,63.61 ,63.52 ,64.17 ,64.25 ,64.00 ,65.47 ,66.27 ,65.32 ,65.48 ,64.40 ,65.36 ,65.42 ,,,65.06 ,64.22 ,64.79 ,65.36 ,65.79 ,65.82 ,64.95 ,67.22 ,63.48 ,,
,조지방,3% ↓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,0.00 ,0.00 ,,
,전분가(수),▽,39.1 ,,,,,,,,,,,,,38.75 ,,,,,,,,,,,,,,,38.85 ,,,38.90 ,39.10 ,38.75 ,,
